                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.6411,                 1.3969,                 1.5628,                0.81853,                0.75739,                0.84553,                0.47819,                 1.4767,                 1.2417,                 1.4826,              0.0006768,              0.0006768,              0.0006768
                     80,                 1.6087,                 1.3863,                 1.5546,                0.82966,                0.76283,                0.85684,                0.49923,                 1.4202,                 1.1749,                 1.4406,             0.00066411,             0.00066411,             0.00066411
                     81,                 1.6048,                 1.3617,                 1.5411,                0.81921,                0.74515,                0.85268,                0.50342,                  1.417,                 1.1619,                 1.4498,             0.00065141,             0.00065141,             0.00065141
                     82,                 1.6196,                 1.3611,                 1.5439,                0.81508,                0.78176,                0.86625,                0.50847,                 1.4162,                 1.1434,                 1.4335,             0.00063872,             0.00063872,             0.00063872
                     83,                 1.5925,                 1.3601,                 1.5352,                0.83014,                0.78381,                0.87824,                0.52444,                 1.3771,                 1.0759,                 1.4202,             0.00062602,             0.00062602,             0.00062602
                     84,                 1.5793,                 1.2914,                 1.5144,                 0.8523,                0.79519,                0.89272,                0.53589,                 1.3838,                 1.0734,                   1.41,             0.00061333,             0.00061333,             0.00061333
                     85,                 1.5645,                 1.3269,                 1.5146,                0.83801,                0.79371,                0.88361,                0.53313,                 1.3397,                 1.0442,                 1.3905,             0.00060063,             0.00060063,             0.00060063
                     86,                 1.5855,                 1.2992,                 1.5319,                0.83803,                0.81426,                0.88534,                0.54346,                 1.3611,                 1.0586,                 1.4057,             0.00058794,             0.00058794,             0.00058794
                     87,                 1.5632,                  1.289,                 1.5126,                0.84462,                0.80756,                0.88834,                0.53642,                 1.3716,                 1.0506,                 1.4072,             0.00057524,             0.00057524,             0.00057524
                     88,                 1.5674,                  1.293,                 1.5141,                0.86668,                0.79822,                0.89546,                0.54623,                  1.358,                 1.0364,                 1.3956,             0.00056255,             0.00056255,             0.00056255
                     89,                 1.5583,                 1.3139,                 1.5023,                 0.8467,                0.80186,                0.89387,                 0.5473,                 1.3398,                 1.0842,                 1.3914,             0.00054985,             0.00054985,             0.00054985
                     90,                 1.5428,                 1.2523,                 1.4929,                0.85679,                0.82597,                0.90678,                0.56189,                 1.3235,                0.99634,                 1.3771,             0.00053716,             0.00053716,             0.00053716
                     91,                 1.5324,                  1.221,                 1.4776,                0.82985,                0.81952,                 0.8992,                0.56179,                 1.2937,                0.99287,                 1.3543,             0.00052446,             0.00052446,             0.00052446
                     92,                 1.5243,                  1.243,                 1.4838,                0.87651,                0.83523,                0.91008,                0.56545,                 1.2972,                0.99975,                 1.3484,             0.00051177,             0.00051177,             0.00051177
                     93,                 1.4887,                 1.1864,                 1.4524,                0.85358,                0.82887,                0.91531,                 0.5805,                 1.2755,                0.93745,                 1.3347,             0.00049907,             0.00049907,             0.00049907
                     94,                 1.5109,                 1.2387,                 1.4663,                0.86199,                0.85047,                0.92151,                0.58389,                 1.2722,                0.92763,                 1.3245,             0.00048638,             0.00048638,             0.00048638
                     95,                 1.4786,                 1.2112,                 1.4534,                0.87679,                0.83964,                0.92265,                0.58562,                 1.2585,                0.90891,                 1.3258,             0.00047368,             0.00047368,             0.00047368
                     96,                 1.4737,                 1.2078,                  1.444,                0.89175,                 0.8373,                0.92395,                0.60358,                 1.2291,                0.90069,                 1.3009,             0.00046099,             0.00046099,             0.00046099
                     97,                 1.4504,                 1.1572,                 1.4095,                0.85493,                0.85458,                0.92581,                0.59059,                 1.2554,                0.92152,                 1.3087,             0.00044829,             0.00044829,             0.00044829
                     98,                 1.4864,                  1.177,                  1.448,                0.87025,                0.87087,                0.93708,                0.61319,                  1.225,                0.87671,                 1.2952,              0.0004356,              0.0004356,              0.0004356
                     99,                 1.4803,                 1.1611,                 1.4377,                0.88618,                0.86113,                0.93068,                0.61183,                 1.2185,                 0.8971,                 1.2882,             0.00042291,             0.00042291,             0.00042291
                    100,                 1.4543,                 1.1671,                 1.4273,                0.87662,                0.84619,                 0.9265,                0.60115,                 1.2044,                0.86816,                 1.2883,             0.00041021,             0.00041021,             0.00041021
                    101,                 1.4423,                 1.1496,                 1.4158,                0.90499,                0.86671,                 0.9404,                0.62621,                 1.1883,                0.85618,                 1.2734,             0.00039752,             0.00039752,             0.00039752
                    102,                 1.4346,                 1.1186,                 1.4247,                0.90096,                0.86199,                0.93745,                 0.6236,                   1.19,                0.83693,                 1.2687,             0.00038482,             0.00038482,             0.00038482
                    103,                 1.4355,                  1.123,                 1.4174,                 0.8848,                0.88291,                   0.94,                0.62162,                 1.1667,                0.85346,                 1.2607,             0.00037213,             0.00037213,             0.00037213
                    104,                 1.4157,                 1.1118,                 1.4068,                0.89458,                0.88054,                0.94441,                0.62812,                 1.1782,                0.81457,                 1.2638,             0.00035943,             0.00035943,             0.00035943
                    105,                 1.3766,                 1.0558,                 1.3746,                0.88984,                 0.8882,                0.94184,                0.63161,                 1.1479,                0.80223,                 1.2444,             0.00034674,             0.00034674,             0.00034674
                    106,                 1.4099,                 1.0936,                 1.3851,                0.90253,                0.89273,                0.94428,                0.64508,                 1.1426,                0.82548,                 1.2403,             0.00033404,             0.00033404,             0.00033404
                    107,                 1.4179,                 1.0926,                 1.4025,                0.91443,                 0.8751,                0.95123,                   0.65,                 1.1221,                 0.7834,                 1.2354,             0.00032135,             0.00032135,             0.00032135
                    108,                 1.3887,                 1.0979,                 1.3775,                0.89228,                0.89762,                0.94546,                 0.6516,                 1.1294,                0.81939,                 1.2376,             0.00030865,             0.00030865,             0.00030865
                    109,                 1.3719,                   1.05,                 1.3623,                0.91058,                0.89091,                0.95227,                0.65447,                 1.1221,                0.77929,                 1.2257,             0.00029596,             0.00029596,             0.00029596
                    110,                 1.3915,                 1.0631,                 1.3853,                0.89545,                0.88929,                0.95258,                0.66063,                  1.108,                0.78342,                 1.2188,             0.00028326,             0.00028326,             0.00028326
                    111,                 1.3752,                  1.041,                 1.3655,                0.92035,                0.89351,                0.95798,                0.67219,                 1.0759,                0.76348,                 1.2048,             0.00027057,             0.00027057,             0.00027057
                    112,                 1.3849,                 1.0515,                 1.3694,                0.92394,                0.89724,                0.95801,                0.65806,                 1.0917,                0.74418,                 1.2065,             0.00025787,             0.00025787,             0.00025787
                    113,                 1.3555,                 1.0484,                 1.3564,                0.90648,                0.91289,                0.96142,                0.67889,                 1.0556,                 0.7316,                 1.1863,             0.00024518,             0.00024518,             0.00024518
                    114,                 1.3286,                 1.0054,                 1.3348,                0.92635,                0.90388,                0.96409,                0.67997,                 1.0583,                0.72734,                 1.1804,             0.00023248,             0.00023248,             0.00023248
                    115,                 1.3702,                 1.0497,                 1.3579,                0.93765,                0.90332,                 0.9646,                0.67843,                 1.0623,                0.74258,                 1.1857,             0.00021979,             0.00021979,             0.00021979
                    116,                 1.3236,                 1.0032,                 1.3258,                0.92268,                0.91344,                0.96625,                0.68506,                  1.042,                0.71558,                 1.1729,             0.00020709,             0.00020709,             0.00020709
                    117,                 1.3599,                  1.029,                 1.3583,                0.93486,                0.91055,                0.96722,                0.68273,                 1.0535,                0.73616,                  1.177,              0.0001944,              0.0001944,              0.0001944
                    118,                 1.3394,                 1.0128,                  1.338,                0.93309,                0.91513,                0.97004,                0.69186,                 1.0435,                0.70624,                 1.1695,              0.0001817,              0.0001817,              0.0001817
                    119,                 1.3095,                0.97381,                  1.322,                0.95128,                0.91516,                0.97134,                0.70296,                 1.0169,                 0.6931,                 1.1597,             0.00016901,             0.00016901,             0.00016901
                    120,                 1.2966,                0.98681,                 1.3261,                0.93632,                0.92163,                0.96976,                0.70498,                 1.0192,                0.69381,                 1.1599,             0.00015631,             0.00015631,             0.00015631
                    121,                 1.3564,                 1.0264,                 1.3739,                0.90902,                0.91373,                0.96028,                0.68095,                 1.0759,                0.72595,                 1.1812,             0.00014362,             0.00014362,             0.00014362
                    122,                 1.2812,                0.93075,                 1.3129,                0.91981,                0.88586,                0.95876,                 0.6814,                 1.0613,                0.72899,                 1.1809,             0.00013092,             0.00013092,             0.00013092
                    123,                 1.2813,                 0.8933,                 1.3346,                0.92728,                0.91264,                0.96615,                0.69225,                 1.0376,                0.69777,                 1.1654,             0.00011823,             0.00011823,             0.00011823
                    124,                 1.2104,                0.84053,                   1.27,                0.94134,                0.91224,                0.96861,                0.69379,                  1.024,                 0.6959,                  1.159,             0.00010553,             0.00010553,             0.00010553
                    125,                 1.2513,                0.87107,                 1.2989,                0.94609,                0.91298,                0.97139,                0.70236,                 1.0133,                0.68474,                 1.1516,             9.2839e-05,             9.2839e-05,             9.2839e-05
                    126,                 1.2481,                0.88011,                 1.3094,                 0.9382,                0.92444,                0.97082,                0.70714,                 1.0019,                0.68196,                 1.1447,             8.0144e-05,             8.0144e-05,             8.0144e-05
                    127,                 1.2289,                0.87582,                 1.2985,                 0.9382,                0.92508,                0.97134,                0.70758,                 1.0078,                0.68059,                 1.1476,             6.7449e-05,             6.7449e-05,             6.7449e-05
                    128,                  1.222,                0.86184,                 1.2851,                0.94378,                0.92217,                0.97181,                0.71328,                 0.9909,                0.67411,                 1.1402,             5.4755e-05,             5.4755e-05,             5.4755e-05
                    129,                 1.2197,                0.82968,                 1.2754,                0.93837,                 0.9247,                0.97139,                0.71279,                0.99168,                0.67004,                  1.139,              4.206e-05,              4.206e-05,              4.206e-05
                    130,                 1.1832,                0.82729,                 1.2516,                0.93929,                0.92353,                0.97356,                0.71422,                0.98805,                0.66374,                 1.1356,             2.9365e-05,             2.9365e-05,             2.9365e-05
